State,Month,o3,so2,no2,pm10,co,temp,humidity,pressure,Population,Deaths
Alabama,01/2014,0.02415496666666667,1.5529426178861792,12.899658027027028,14.231958762886595,0.32810072469635626,37.60130030645162,54.77095016129032,997.523197951613,4903185,485.0
Alabama,02/2014,0.025144985074626862,1.2932595636363635,8.851034102564102,14.259887005649716,0.2777366261261261,46.52028489285714,69.03122866071428,995.2457907857145,4903185,373.0
Alabama,03/2014,0.03175695400593472,1.1522460666666667,13.212880728813555,16.367469879518072,0.2958015942622951,53.24798388709678,63.473790322580655,994.7776209193547,4903185,316.0
Alabama,04/2014,0.03477915303030303,1.1991827999999998,11.379410683333333,18.189473684210526,0.3532052041666667,62.7851640625,63.8400054375,994.0639185833335,4903185,297.0
Alabama,05/2014,0.03044653977272727,1.423506306451613,12.718230419354839,22.48780487804878,0.4001986491935484,72.3471774032258,65.45833330645162,996.5522849838707,4903185,325.0
Alabama,06/2014,0.02390349420289855,1.5116042916666663,10.96745655,23.47524752475248,0.3983381833333334,78.66052365,72.92925725000003,995.38896825,4903185,317.0
Alabama,07/2014,0.02828727004219409,1.2794554354838708,10.05302769354839,24.745,0.3870146822033898,79.31330643548388,65.75940858064516,995.9897850161293,4903185,290.0
Alabama,08/2014,0.027070391853932584,1.9876986612903225,12.351537322580647,25.56372549019608,0.4479395040322581,81.30665325806451,64.34811822580646,995.2393817580644,4903185,302.0
Alabama,09/2014,0.02399434347826087,1.6625104333333334,11.264796083333335,17.823232323232318,0.3557672125,77.12740035000002,69.71524754999999,996.4058937,4903185,306.0
Alabama,10/2014,0.02461612112676056,1.055381309090909,13.401377096774194,20.355670103092784,0.36315194354838704,66.49731188709677,68.41868280645161,994.4973790483873,4903185,273.0
Alabama,11/2014,0.027809766666666662,1.2665013333333337,12.365565216666665,14.748344370860927,0.3232237416666666,49.65020835,61.97222221666666,998.7536805333333,4903185,356.0
Alabama,12/2014,0.018308774193548382,1.0069729191919192,11.786711322580645,12.89795918367347,0.4441379556451613,49.37634408064516,77.32392475806452,998.8028898548387,4903185,441.0
Alaska,01/2014,0.019881403225806445,14.705416161290321,0.0,13.907949790794977,0.7869691612903225,15.037051978494626,86.00806454838708,0.0,731545,29.0
Alaska,02/2014,0.020179571428571432,13.670998839285714,0.0,30.0,0.8521851383928573,0.7604166547619047,73.54464292857143,0.0,731545,16.0
Alaska,03/2014,0.028769682539682543,8.988206290322582,0.0,22.702380952380953,0.5846216088709677,17.349417602150538,60.212606769230774,746.0971248064517,731545,21.0
Alaska,04/2014,0.034961744444444436,5.01079535,0.0,28.82520325203252,0.2943031746031745,33.65971378888889,59.53068180000001,743.1906401000001,731545,17.0
Alaska,05/2014,0.034175488372093034,3.9238938225806455,0.0,29.34661354581673,0.24598529032258054,49.43464753763441,50.1962365483871,749.8585788709677,731545,22.0
Alaska,06/2014,0.021401639534883717,3.595828666666667,0.0,9.085201793721973,0.23899756666666666,54.90669612222222,66.78749996666667,744.3217993666666,731545,26.0
Alaska,07/2014,0.01683698863636364,2.926324467741935,2.63715264516129,9.236286919831224,0.20813390322580647,57.852016139784936,72.39919358064516,747.3425081612903,731545,23.0
Alaska,08/2014,0.017615826086956526,2.471083516129032,3.300742064516129,9.2882096069869,0.22380643548387094,53.46012188888889,75.87608693548387,744.4314333214287,731545,20.0
Alaska,09/2014,0.016733444444444447,3.277433216666666,12.159276,11.352422907488984,0.34409198214285713,44.14671292222222,72.24861113333334,744.5795291000002,731545,10.0
Alaska,10/2014,0.018135693548387097,4.326293161290322,11.196054322580645,25.60416666666667,0.4832240762711865,23.487809559139787,83.20332361290322,741.3444367096773,731545,27.0
Alaska,11/2014,0.021465233333333337,12.798589816666665,20.8892239,39.14814814814815,0.7838359083333334,15.476712977777776,81.83472223333334,746.3386363666667,731545,23.0
Alaska,12/2014,0.007439903225806452,10.085604096774198,20.989634870967738,14.2,0.6893092661290322,12.880958774193552,83.18115943478259,740.9765076774195,731545,26.0
Arkansas,01/2014,0.029359684587813618,1.9472783118279569,10.27293364516129,10.052631578947368,0.3765559838709677,39.34139780645162,20.19220435483871,0.0,3017804,331.0
Arkansas,02/2014,0.030993130952380963,1.8397359761904764,10.223721875,15.842105263157894,0.408777125,41.76636907142857,22.882440535714288,0.0,3017804,256.0
Arkansas,03/2014,0.035238712727272734,1.361883188172043,10.816469951612904,16.77777777777778,0.3585525,50.303763483870966,28.5174730967742,0.0,3017804,250.0
Arkansas,04/2014,0.0381037421875,1.0618328444444445,7.847031983333332,17.588235294117652,0.25647195,63.18194446666666,29.480555566666666,0.0,3017804,241.0
Arkansas,05/2014,0.03316954850746268,1.3218484193548388,7.14250393548387,15.7,0.2424518548387097,70.74865596774194,33.783602193548376,0.0,3017804,239.0
Arkansas,06/2014,0.02552443703703704,1.3385265611111108,5.743760166666667,22.315789473684212,0.24504833333333334,78.7458333,34.60972223333333,0.0,3017804,222.0
Arkansas,07/2014,0.02981137545126353,1.4009268333333331,6.747621822580646,21.047619047619047,0.3410170806451613,77.97580638709677,33.27822580645162,0.0,3017804,226.0
Arkansas,08/2014,0.03062848028673835,1.2376896236559138,7.0049877903225815,23.95,0.367414870967742,81.82930109677419,31.186827999999995,0.0,3017804,195.0
Arkansas,09/2014,0.027033103703703702,1.2873147722222222,8.061759433333332,19.57894736842105,0.3638707833333334,75.99027776666667,30.595833366666664,0.0,3017804,186.0
